PLAYER_NAME,DRAFT_YEAR,HEIGHT_WO_SHOES_FT_IN,PHYSICAL_SCORE_FINAL,SHOOTING_SCORE,PLAYMAKING_SCORE,DEFENSE_SCORE
kendall brown,2022,6' 6.25'',55.11,41.24093159306912,41.79046056381964,42.09500148341828
julian champagnie,2022,6' 6.25'',53.51,51.899450695447605,41.08143079686867,61.944999378708935
max christie,2022,6' 4.25'',50.94,49.18999873853416,36.15622562316875,31.01520362296108
kofi cockburn,2022,6' 11.00'',64.67,27.545663028858726,26.27412585079589,48.58824692024061
jd davison,2022,6' 0.50'',51.04,41.46047116258675,60.9164725746345,43.40105960667181
moussa diabate,2022,6' 9.25'',61.81,25.609080391151757,28.22715873817076,41.354627278011634
keon ellis,2022,6' 3.50'',51.79,61.02378803797544,39.36932328990655,57.09913230598861
collin gillespie,2022,6' 1.50'',40.48,69.44034104563983,52.65152221520947,29.334208546195068
harrison ingram,2022,6' 5.25'',60.19,39.986075926252205,48.62297194651661,36.01441252854234
johnny juzang,2022,6' 5.25'',56.26,,,
trevor keels,2022,6' 3.25'',48.66,42.08249242225281,53.07818228554727,36.35019227603377
christian koloko,2022,6' 10.75'',67.68,31.849180001540883,36.262596356428325,78.38732754629987
jake laravia,2022,6' 6.75'',50.6,51.78288276537695,51.550151102792746,56.02488633287117
justin lewis,2022,6' 6.25'',64.29,51.53158704871953,35.92821749475186,43.76597316396122
e.j. liddell,2022,6' 5.50'',57.58,52.81231735507566,42.19208529308226,65.69205010684678
matthew mayer,2022,6' 8.00'',51.88,45.79638878183568,34.98237281009971,60.95682026284916
bryce mcgowens,2022,6' 5.25'',50.89,46.462177101256,30.9766867566612,30.576120127345693
aminu mohammed,2022,6' 3.50'',58.99,40.16984979561384,35.78046343639376,51.79988350462583
iverson molinar,2022,6' 2.25'',52.73,44.69712437024727,52.051327832622434,37.90624109397333
andrew nembhard,2022,6' 3.00'',44.11,60.73616311914961,70.02562929061784,41.153979254099646
orlando robinson,2022,6' 9.75'',65.07,46.145736463426594,45.60381343006618,50.72745577995717
david roddy,2022,6' 4.50'',59.62,56.02656665208437,46.573271060696136,52.103650115357496
ryan rollins,2022,6' 2.00'',55.47,48.20141083013168,54.06655069554398,46.84502574808955
dereon seabron,2022,6' 4.75'',51.52,34.05364786828988,47.40629924078394,37.94646674291088
terquavion smith,2022,6' 2.25'',47.25,53.65875113673782,41.92991810266948,43.71468190105796
julian strawther,2022,6' 5.75'',51.28,50.93072326683926,35.394006459812275,29.444028437219533
